"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"BRI","BIG RIVER INDUSTRIES LIMITED","2017-05-01","Materials",177375255
"BRK","BROOKSIDE ENERGY LIMITED","2005-10-31","Energy",61840089
"BRL","BATHURST RESOURCES LIMITED.","2013-06-21","Materials",50430729
"BRN","BRAINCHIP HOLDINGS LTD","2011-11-09","Software & Services",896258058
"BRU","BURU ENERGY LIMITED","2008-09-01","Energy",80766449
"BRV","BIG RIVER GOLD LTD","2004-02-06","Materials",89925588
"BSA","BSA LIMITED","1999-11-15","Commercial & Professional Services",138687953
"BSE","BASE RESOURCES LIMITED","2008-10-02","Materials",353403555
"BSL","BLUESCOPE STEEL LIMITED","2002-07-15","Materials",10574892978
"BSM","BASS METALS LTD","2005-10-20","Materials",21923952
"BSR","BASSARI RESOURCES LIMITED","2008-01-07","Materials","N/A"
"BSX","BLACKSTONE MINERALS LIMITED","2017-01-23","Materials",106186301
"BTC","BTC HEALTH LTD","2000-08-29","Not Applic",17967641
"BTH","BIGTINCAN HOLDINGS LIMITED","2017-03-24","Software & Services",466797128
"BTI","BAILADOR TECHNOLOGY INVESTMENTS LIMITED","2014-11-21","Diversified Financials",192365255
"BTR","BRIGHTSTAR RESOURCES LIMITED","2003-12-05","Materials",15391277
"BUB","BUBS AUSTRALIA LIMITED","1993-10-05","Food, Beverage & Tobacco",294132278
"BUD","BUDDY TECHNOLOGIES LTD","2006-12-18","Consumer Durables & Apparel","N/A"
"BUX","BUXTON RESOURCES LIMITED","2007-10-23","Materials",12244989
"BUY","BOUNTY OIL & GAS NL","2002-02-05","Energy",20831619
"BVS","BRAVURA SOLUTIONS LIMITED.","2016-11-16","Software & Services",902870632
"BWF","BLACKWALL LIMITED","2011-10-21","Diversified Financials",37569160
"BWP","BWP TRUST","1998-09-16","Real Estate",2781521867
"BWX","BWX LIMITED","2015-11-11","Household & Personal Products",730213177
"BXB","BRAMBLES LIMITED","2006-11-27","Commercial & Professional Services",16286409481
"BXN","BIOXYNE LIMITED","2000-12-14","Household & Personal Products",14723344
"BYE","BYRON ENERGY LIMITED","2005-06-03","Energy",114432461
"BYH","BRYAH RESOURCES LIMITED","2017-10-17","Materials",12206178
"BYI","BEYOND INTERNATIONAL LIMITED","1987-06-12","Media & Entertainment",43242562
"C6C","COPPER MOUNTAIN MINING CORPORATION","2018-04-06","Materials",726788062
"CAA","CAPRAL LIMITED","1986-11-20","Materials",124734309
"CAD","CAENEUS MINERALS LTD","2000-07-11","Materials",39869903
"CAE","CANNINDAH RESOURCES LIMITED","2005-05-20","Materials",30095155
"CAF","CENTREPOINT ALLIANCE LIMITED","2002-06-25","Diversified Financials",35349327
"CAG","CAPE RANGE LTD","2017-11-30","Software & Services",18981660
"CAI","CALIDUS RESOURCES LIMITED","1987-03-13","Materials",179967756
"CAJ","CAPITOL HEALTH LIMITED","2006-06-09","Health Care Equipment & Services",349502154
"CAM","CLIME CAPITAL LIMITED","2004-02-03","Not Applic",124049205
"CAN","CANN GROUP LIMITED","2017-05-04","Pharmaceuticals, Biotechnology & Life Sciences",111164799
"CAP","CARPENTARIA RESOURCES LTD","2007-11-14","Materials",73739800
"CAQ","CAQ HOLDINGS LIMITED","2005-07-25","Real Estate",13637939
"CAR","CARSALES.COM LIMITED.","2009-09-10","Media & Entertainment",5506762330
"CAT","CATAPULT GROUP INTERNATIONAL LTD","2014-12-19","Technology Hardware & Equipment",410884891
"CAU","CRONOS AUSTRALIA LIMITED","2019-11-07","Health Care Equipment & Services",14162500
"CAV","CARNAVALE RESOURCES LIMITED","2007-03-15","Materials",16661612
"CAY","CANYON RESOURCES LIMITED","2010-06-15","Materials",74868426
"CAZ","CAZALY RESOURCES LIMITED","2003-10-31","Materials",18108600
"CBA","COMMONWEALTH BANK OF AUSTRALIA.","1991-09-12","Banks",173967893965
"CBE","COBRE LIMITED","2020-01-31","Materials",28980227
"CBL","CONTROL BIONICS LIMITED","2020-12-07","Health Care Equipment & Services",47603138
"CBR","CARBON REVOLUTION LIMITED","2019-11-29","Automobiles & Components",246958909
"CBY","CANTERBURY RESOURCES LIMITED","2019-03-07","Materials",11186520
"CCA","CHANGE FINANCIAL LIMITED","2016-06-30","Software & Services",40275462
"CCE","CARNEGIE CLEAN ENERGY LIMITED","1993-10-26","Utilities",29405147
"CCG","COMMS GROUP LTD","2017-12-21","Software & Services",23142421
"CCJ",,"2011-11-15","Energy",
"CCP","CREDIT CORP GROUP LIMITED","2000-09-04","Diversified Financials",1997931965
"CCR","CREDIT CLEAR LIMITED","2020-10-27","Software & Services",136540481
"CCV","CASH CONVERTERS INTERNATIONAL","1997-02-07","Diversified Financials",141197628
"CCX","CITY CHIC COLLECTIVE LIMITED","1998-05-28","Retailing",1238908150
"CCZ","CASTILLO COPPER LIMITED","2010-12-14","Materials",45268281
"CD1","CD PRIVATE EQUITY FUND I","2012-08-14","Not Applic",40379196
"CD2","CD PRIVATE EQUITY FUND II","2013-04-09","Not Applic",77266056
"CD3","CD PRIVATE EQUITY FUND III","2016-07-27","Not Applic",103720925
"CDA","CODAN LIMITED","2003-11-27","Technology Hardware & Equipment",3077628221
"CDD","CARDNO LIMITED","2004-05-20","Commercial & Professional Services",318921870
"CDH","CHONGHERR INVESTMENTS LTD","1993-08-10","Materials","N/A"
"CDM","CADENCE CAPITAL LIMITED","2006-12-05","Not Applic",314538809
"CDP","CARINDALE PROPERTY TRUST","1996-11-28","Real Estate",315700000
"CDT","CASTLE MINERALS LIMITED","2006-05-02","Materials",10255011
"CDX","CARDIEX LIMITED","2005-11-09","Health Care Equipment & Services",69452862
"CDY","CELLMID LIMITED","2005-12-09","Pharmaceuticals, Biotechnology & Life Sciences",11995556
"CE1","CALIMA ENERGY LIMITED","2006-07-28","Energy",82192447
"CEL","CHALLENGER EXPLORATION LIMITED","2007-11-07","Energy",173866510
"CEN","CONTACT ENERGY LIMITED","2015-09-24","Utilities",7818090987
"CF1","COMPLII FINTECH SOLUTIONS LTD","2001-12-18","Software & Services",16752599
"CFO","CFOAM LIMITED","2016-10-26","Capital Goods",9501450
"CG1","CARBONXT GROUP LIMITED","2018-01-23","Materials",22622966
"CG1NA","CARBONXT GROUP LIMITED","2018-01-23","Materials",22622966
"CGA","CONTANGO ASSET MANAGEMENT LIMITED","2004-09-30","Diversified Financials",46436892
"CGB","CANN GLOBAL LIMITED","2008-01-14","Pharmaceuticals, Biotechnology & Life Sciences",28538835
"CGC","COSTA GROUP HOLDINGS LIMITED","2015-07-24","Food, Beverage & Tobacco",1359450261
"CGF","CHALLENGER LIMITED","2003-12-23","Diversified Financials",3603381102
"CGM","COUGAR METALS NL","2003-12-16","Materials","N/A"
"CGN","CRATER GOLD MINING LIMITED","2002-11-01","Materials",20867430
"CGO","CPT GLOBAL LIMITED","2000-09-08","Software & Services",22480283
"CGS","COGSTATE LTD","2004-02-13","Health Care Equipment & Services",217155180
"CHC","CHARTER HALL GROUP","2005-06-10","Real Estate",7042550221
"CHK","COHIBA MINERALS LIMITED","2012-02-01","Materials",23654875
"CHM","CHIMERIC THERAPEUTICS LIMITED","2021-01-18","Pharmaceuticals, Biotechnology & Life Sciences",99257915
"CHN","CHALICE MINING LIMITED","2006-03-24","Materials",2292727368
"CHZ","CHESSER RESOURCES LIMITED","2007-05-29","Materials",58825276
"CI1","CREDIT INTELLIGENCE LTD","2008-07-10","Commercial & Professional Services",30451747
"CIA","CHAMPION IRON LIMITED","2007-06-08","Materials",3179665510
"CIE","CONTANGO INCOME GENERATOR  LIMITED","2015-08-14","Not Applic",76572885
"CII","CI RESOURCES LIMITED","1987-07-24","Materials","N/A"
"CIM","CIMIC GROUP LIMITED","1962-12-11","Capital Goods",6194796091
"CIN","CARLTON INVESTMENTS LIMITED","1970-06-30","Not Applic",787886328
"CIO","CONNECTED IO LIMITED","1984-08-16","Technology Hardware & Equipment",3198478
"CIP","CENTURIA INDUSTRIAL REIT","2012-12-13","Real Estate",2063759893
"CIW","CLIME INVESTMENT MANAGEMENT LTD","2000-12-15","Diversified Financials",36984055
"CKA","COKAL LIMITED","2000-04-17","Materials",54550356
"CKF","COLLINS FOODS LIMITED","2011-08-04","Consumer Services",1412964677
"CL1","CLASS LIMITED","2015-12-18","Software & Services",215959165
"CL8","CARLY HOLDINGS LIMITED","1996-09-09","Retailing",7407706
"CLA","CELSIUS RESOURCES LIMITED.","1988-03-24","Materials",32464071
"CLB","CANDY CLUB HOLDINGS LIMITED","2019-02-19","Food & Staples Retailing",54768825
"CLE","CYCLONE METALS LIMITED","2001-06-07","Materials","N/A"
"CLH","COLLECTION HOUSE LIMITED","2000-10-04","Diversified Financials",23421447
"CLI","CROPLOGIC LIMITED","2017-09-12","Commercial & Professional Services","N/A"
"CLT","CELLNET GROUP LIMITED","1999-11-17","Technology Hardware & Equipment",12857516
"CLU","CLUEY LTD","2020-12-09","Consumer Services",138094523
"CLV","CLOVER CORPORATION LIMITED","1999-11-30","Materials",304347490
"CLW","CHARTER HALL LONG WALE REIT","2016-11-08","Real Estate",3021717671
"CLX","CTI LOGISTICS LIMITED","1987-12-02","Transportation",66195169
"CLZ","CLASSIC MINERALS LTD","2013-05-24","Materials",20111961
"CM8","CROWD MEDIA HOLDINGS LIMITED","1999-12-16","Media & Entertainment",12974558
"CMC","CHINA MAGNESIUM CORPORATION LIMITED","2010-11-09","Materials","N/A"
"CMD","CASSIUS MINING LIMITED","2006-08-10","Materials",4583696
"CML","CHASE MINING CORPORATION LIMITED","2007-11-15","Materials",5920124
"CMM","CAPRICORN METALS LTD","2008-07-07","Materials",670287302
"CMP","COMPUMEDICS LIMITED","2000-12-21","Health Care Equipment & Services",67321920
"CMW","CROMWELL PROPERTY GROUP","1973-02-22","Real Estate",2381898314
"CNB","CARNABY RESOURCES LIMITED","2016-08-30","Materials",35973419
"CNI","CENTURIA CAPITAL GROUP","2002-03-26","Real Estate",2027457646
"CNJ","CONICO LTD","2007-06-18","Materials",23825543
"CNL","CELAMIN HOLDINGS LIMITED","2009-12-17","Materials",11702736
"CNU","CHORUS LIMITED","2011-11-21","Telecommunication Services",2539101341
"CNW","CIRRUS NETWORKS HOLDINGS LIMITED","2004-02-10","Software & Services",26604451
"COB","COBALT BLUE HOLDINGS LIMITED","2017-02-02","Materials",72064086
"COD","CODA MINERALS LTD","2020-10-28","Materials",100482691
"COE","COOPER ENERGY LIMITED","2002-03-13","Energy",407756526
"COF","CENTURIA OFFICE REIT","2014-12-10","Real Estate",1203983368
"COG","COG FINANCIAL SERVICES LIMITED","2003-01-28","Diversified Financials",216250041
"COH","COCHLEAR LIMITED","1995-12-04","Health Care Equipment & Services",16128994656
"COI","COMET RIDGE LIMITED","2004-04-16","Energy",49055127
"COL","COLES GROUP LIMITED.","2018-11-21","Food & Staples Retailing",21969822093
"COO","CORUM GROUP LIMITED","1971-07-28","Software & Services",53111354
"COS","COSOL LIMITED","2020-01-24","Software & Services",86969319
"COY","COPPERMOLY LIMITED","2008-01-31","Materials",21272140
"CPH","CRESO PHARMA LIMITED","2016-10-20","Pharmaceuticals, Biotechnology & Life Sciences",159806797
"CPN","CASPIN RESOURCES LIMITED","2020-11-25","Materials",100087560
"CPT","CIPHERPOINT LIMITED","2007-01-03","Software & Services",5335318
"CPU","COMPUTERSHARE LIMITED.","1994-05-27","Software & Services",10190951192
"CPV","CLEARVUE TECHNOLOGIES LIMITED","2018-05-25","Capital Goods",96070682
"CQE","CHARTER HALL SOCIAL INFRASTRUCTURE REIT","2003-05-22","Real Estate",1254689974
"CQR","CHARTER HALL RETAIL REIT","1995-11-15","Real Estate",2239758776
"CR1","CONSTELLATION RESOURCES LIMITED","2018-07-30","Materials",13081895
"CR9","CORELLA RESOURCES LTD","2008-01-15","Materials",17424995
"CRB",,"2007-03-16","Materials",
"CRL","COMET RESOURCES LIMITED","1994-03-02","Materials",13014785
"CRM","CARBON MINERALS LIMITED","1980-12-31","Energy",4700875
"CRN","CORONADO GLOBAL RESOURCES INC.","2018-10-23","Materials",1265722566
"CRO","CIRRALTO LIMITED","2002-05-29","Software & Services",165260396
"CRR","CRITICAL RESOURCES LIMITED","2010-12-03","Materials",27510323
"CRS","CAPRICE RESOURCES LTD","2018-12-05","Materials",10574134
"CRW","CASHREWARDS LIMITED","2020-12-02","Media & Entertainment",63842003
"CSE","COPPER STRIKE LIMITED","2004-11-24","Materials",10802612
"CSL","CSL LIMITED","1994-06-08","Pharmaceuticals, Biotechnology & Life Sciences",138811837595
"CSM","COSMO GOLD LIMITED",,"Materials",0
"CSR","CSR LIMITED","1962-03-31","Materials",2839489240
"CSS","CLEAN SEAS SEAFOOD LIMITED","2005-12-12","Food, Beverage & Tobacco",70047941
"CST","CASTILE RESOURCES LTD","2020-02-14","Materials",43936227
"CSX","CLEANSPACE HOLDINGS LIMITED","2020-10-23","Health Care Equipment & Services",138635141
"CT1","CONSTELLATION TECHNOLOGIES LIMITED","1987-10-08","Technology Hardware & Equipment",23481236
"CTD","CORPORATE TRAVEL MANAGEMENT LIMITED","2010-12-15","Consumer Services",2886763919
"CTE","CRYOSITE LIMITED","2002-05-09","Pharmaceuticals, Biotechnology & Life Sciences",19681016
"CTM","CENTAURUS METALS LIMITED","1989-01-12","Materials",249012673
"CTO","CITIGOLD CORPORATION LIMITED","1993-12-23","Materials",30580000
"CTP","CENTRAL PETROLEUM LIMITED","2006-03-07","Energy",86891239
"CTT","CETTIRE LIMITED","2020-12-18","Retailing",846348848
"CUE","CUE ENERGY RESOURCES LIMITED","1995-12-11","Energy",44679662
"CUL","CULLEN RESOURCES LIMITED","1988-11-23","Materials",8600106
"CUP","COUNTPLUS LIMITED","2010-12-22","Commercial & Professional Services",117649236
"CUV","CLINUVEL PHARMACEUTICALS LIMITED","2001-02-13","Pharmaceuticals, Biotechnology & Life Sciences",1381513050
"CV1","CV CHECK LTD","2015-09-08","Software & Services",60035744
"CVC","CVC LIMITED","1985-06-27","Diversified Financials",237152911
"CVL","CIVMEC LIMITED","2018-06-22","Capital Goods",305671000
"CVN","CARNARVON PETROLEUM LIMITED","1984-08-16","Energy",375691180
"CVS","CERVANTES CORPORATION LIMITED","2002-11-06","Materials",12432100
"CVV","CARAVEL MINERALS LIMITED","2006-11-03","Materials",166248689
"CVW","CLEARVIEW WEALTH LIMITED","2003-12-11","Diversified Financials",336178555
"CWL","CONSOLIDATED FINANCIAL HOLDINGS LIMITED","2007-10-23","Software & Services","N/A"
"CWN","CROWN RESORTS LIMITED","2007-12-03","Consumer Services",8213929827
"CWP","CEDAR WOODS PROPERTIES LIMITED","1994-08-31","Real Estate",530368396
"CWX","CARAWINE RESOURCES LIMITED","2017-12-14","Materials",25589127
"CWY","CLEANAWAY WASTE MANAGEMENT LIMITED","2005-05-03","Commercial & Professional Services",5478095924
"CWZ","CASHWERKZ LIMITED","1987-01-14","Diversified Financials",63994786
"CXL","CALIX LIMITED","2018-07-20","Materials",409062222
"CXM","CENTREX METALS LIMITED","2006-07-19","Materials",18737558
"CXO","CORE LITHIUM LTD","2011-02-11","Materials",270046968
"CXU","CAULDRON ENERGY LIMITED","2005-01-28","Energy",18239980
"CXX","CRADLE RESOURCES LIMITED","2011-09-16","Materials",11570589
"CXZ","CONNEXION TELEMATICS LTD","1974-01-01","Software & Services",14082642
"CY5","CYGNUS GOLD LIMITED","2018-01-15","Materials",12468311
"CYC","CYCLOPHARM LIMITED","2007-01-18","Health Care Equipment & Services",243708288
"CYG","COVENTRY GROUP LIMITED","1966-01-27","Capital Goods",126466079
"CYL","CATALYST METALS LIMITED","2006-07-26","Materials",190202224
"CYM","CYPRIUM METALS LIMITED","1985-04-26","Materials",137142304
"CYP","CYNATA THERAPEUTICS LIMITED","2007-12-20","Pharmaceuticals, Biotechnology & Life Sciences",78802127
"CYQ","CYCLIQ GROUP LTD","2007-11-21","Consumer Durables & Apparel",9675509
"CZL","CONSOLIDATED ZINC LIMITED","2006-06-19","Materials",11451597
"CZN","CORAZON MINING LIMITED","2005-06-30","Materials",7106895
"CZR","CZR RESOURCES LTD","2006-08-29","Materials",32008450
"D2O","DUXTON WATER LIMITED","2016-09-16","Utilities",167176866
"DAF","DISCOVERY AFRICA LIMITED","2011-09-22","Materials",11381143
"DBF","DUXTON BROADACRE FARMS LIMITED","2018-02-08","Food, Beverage & Tobacco",58777999
"DBI","DALRYMPLE BAY INFRASTRUCTURE LIMITED","2020-12-08","Transportation",1036882962
"DC2","DC TWO LIMITED","2020-11-10","Class Pend",17257500
"DCC","DIGITALX LIMITED","1989-02-06","Software & Services",39202810
"DCG","DECMIL GROUP LIMITED","2005-04-22","Capital Goods",60506671
"DCL","DOMACOM LIMITED","2016-11-07","Diversified Financials","N/A"
"DCN","DACIAN GOLD LIMITED","2012-11-14","Materials",264081416
"DCX","DISCOVEX RESOURCES LIMITED","2007-12-13","Materials",14127652
"DDB","DYNAMIC DRILL AND BLAST HOLDINGS LIMITED","2020-08-06","Capital Goods",29988694
"DDD","3D RESOURCES LIMITED","2007-03-21","Materials",17461674
"DDH","DDH1 LIMITED","2021-03-09","Materials",387369286
"DDR","DICKER DATA LIMITED","2011-01-24","Technology Hardware & Equipment",1772721107
"DDT","DATADOT TECHNOLOGY LIMITED","2005-01-12","Automobiles & Components",7451217
"DEG","DE GREY MINING LIMITED","2002-07-03","Materials",1615521326
"DEL","DELOREAN CORPORATION LIMITED","2021-04-12","Utilities",34024873
"DEM","DE.MEM LIMITED","2017-04-07","Utilities",58495654
"DET","DEALT LIMITED","2017-02-07","Real Estate","N/A"
"DEV","DEVEX RESOURCES LIMITED","2000-10-03","Energy",103124379
"DEX","DUKE EXPLORATION LIMITED","2020-11-10","Materials",33572405
"DGH","DESANE GROUP HOLDINGS LIMITED","1987-09-04","Real Estate",48273788
"DGL","DGL GROUP LIMITED","2021-05-24","Materials",300690000
"DGO","DGO GOLD LIMITED","2007-12-21","Materials",211829034
"DGR","DGR GLOBAL LIMITED","2003-08-21","Materials",58534724
"DHG","DOMAIN HOLDINGS AUSTRALIA LIMITED.","2017-11-16","Media & Entertainment",2962216903
"DJW","DJERRIWARRH INVESTMENTS LIMITED","1995-06-28","Not Applic",713077961
"DJWN","DJERRIWARRH INVESTMENTS LIMITED","1995-06-28","Not Applic",713077961
"DKM","DUKETON MINING LIMITED","2014-08-04","Materials",35123148
"DLC","DELECTA LIMITED","1987-01-15","Retailing",6051727
"DLT","DELTA DRONE INTERNATIONAL LIMITED","2018-06-18","Technology Hardware & Equipment",12048118
"DM1","DESERT METALS LIMITED","2020-12-18","Materials",31900000
"DMC","DESIGN MILK CO LIMITED","1997-03-24","Retailing",15605901
"DME","DOME GOLD MINES LIMITED","2013-10-22","Materials",52898516
"DMG","DRAGON MOUNTAIN GOLD LIMITED","2007-07-31","Materials","N/A"
"DMP","DOMINO'S PIZZA ENTERPRISES LIMITED","2005-05-16","Consumer Services",10360307725
"DNA","DONACO INTERNATIONAL LIMITED","2004-12-23","Consumer Services",53121743
"DNK","DANAKALI LIMITED","2003-10-17","Materials",161591912
"DOC","DOCTOR CARE ANYWHERE GROUP PLC","2020-12-04","Health Care Equipment & Services",293346696
"DOR","DORIEMUS PLC","2017-09-29","Energy",16670148
"DOU","DOUUGH LIMITED","2004-06-15","Telecommunication Services",72965222
"DOW","DOWNER EDI LIMITED","1990-12-20","Commercial & Professional Services",3850095023
"DRE","DREADNOUGHT RESOURCES LTD","2006-10-31","Materials",61707294
"DRO","DRONESHIELD LIMITED","2016-06-22","Capital Goods",61139249
"DRR","DETERRA ROYALTIES LIMITED","2020-10-23","Materials",2341087107
"DRX","DIATREME RESOURCES LIMITED","2005-06-22","Materials",56660046
"DSE","DROPSUITE LIMITED","1985-12-12","Software & Services",95691583
"DSK","DUSK GROUP LIMITED","2020-11-02","Retailing",209842705
"DTC","DAMSTRA HOLDINGS LIMITED","2019-10-16","Software & Services",166263686
"DTI","DTI GROUP LTD","2014-12-09","Technology Hardware & Equipment",8374414
"DTL","DATA#3 LIMITED","1997-12-23","Software & Services",808368488
"DTM","DART MINING NL","2007-05-10","Materials",13492639
"DTR","DATELINE RESOURCES LIMITED","2011-06-23","Materials",34377634
"DTS","DRAGONTAIL SYSTEMS LIMITED","2016-12-20","Software & Services",65777346
"DTZ","DOTZ NANO LIMITED","2007-12-13","Semiconductors & Semiconductor Equipment",137320269
"DUB","DUBBER CORPORATION LIMITED","2000-06-30","Software & Services",750642733
"DUG","DUG TECHNOLOGY LTD","2020-08-12","Software & Services",124341930
"DUI","DIVERSIFIED UNITED INVESTMENT LIMITED","1991-12-19","Not Applic",1055912209
"DUR","DURATEC LIMITED","2020-11-04","Capital Goods",84292904
"DVL","DORSAVI LTD","2013-12-11","Pharmaceuticals, Biotechnology & Life Sciences",9124247
"DVN","DEVINE LIMITED","1993-11-25","Real Estate",37301681
"DW8","DIGITAL WINE VENTURES LIMITED","2001-04-04","Retailing",136804274
"DXB","DIMERIX LIMITED","1993-02-04","Pharmaceuticals, Biotechnology & Life Sciences",41579852
"DXN","DXN LIMITED","2018-04-11","Software & Services",12158504
"DXS","DEXUS","2004-10-06","Real Estate",11573082047
"DYL","DEEP YELLOW LIMITED","1985-12-19","Energy",236377948
"E25","ELEMENT 25 LIMITED","2006-11-09","Materials",303532353
"E2E","EON NRG LIMITED","2011-01-21","Energy","N/A"
"E2M","E2 METALS LIMITED","2017-04-19","Materials",49552274
"EAI","ELLERSTON ASIAN INVESTMENTS LIMITED","2015-09-15","Not Applic",157487546
"EAS","EASTON INVESTMENTS LIMITED","2005-08-02","Diversified Financials",38929252
"EAX","ENERGY ACTION LIMITED","2011-10-13","Commercial & Professional Services",7286922
"EBG","EUMUNDI GROUP LIMITED","1989-12-07","Consumer Services",42374200
"EBO","EBOS GROUP LIMITED","2013-12-06","Health Care Equipment & Services",5008645257
"ECF","ELANOR COMMERCIAL PROPERTY FUND","2019-12-06","Real Estate",237104000
"ECG","ECARGO HOLDINGS LIMITED","2014-11-28","Commercial & Professional Services",15381250
"ECL","EXCELSIOR CAPITAL LTD","1993-04-22","Capital Goods",51900100
"ECP","ECP EMERGING GROWTH LIMITED","2014-08-14","Not Applic",27660245
"ECS","ECS BOTANICS HOLDINGS LTD","1986-03-13","Pharmaceuticals, Biotechnology & Life Sciences",34513893
"ECT","ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED.","1986-02-05","Commercial & Professional Services",11831250
"ECX","ECLIPX GROUP LIMITED","2015-04-22","Diversified Financials",682584593
"EDC","EILDON CAPITAL GROUP","2017-02-28","Diversified Financials",47781229
"EDE","EDEN INNOVATIONS LTD","2006-06-06","Energy",47905604
"EEG","EMPIRE ENERGY GROUP LIMITED","1984-08-30","Energy",145561813
"EER","EAST ENERGY RESOURCES LIMITED","2007-12-19","Energy","N/A"
"EFE","EASTERN IRON LIMITED","2008-05-16","Materials",9688013
"EGG","ENERO GROUP LIMITED","2004-04-30","Media & Entertainment",209706354
"EGH","EUREKA GROUP HOLDINGS LIMITED","2004-07-01","Real Estate",134782962
"EGL","ENVIRONMENTAL GROUP LIMITED (THE)","1981-02-12","Capital Goods",24096836
"EGN","ENGENCO LIMITED","2006-12-14","Capital Goods",147339838
"EGR","ECOGRAF LIMITED","2010-10-29","Materials",249546570
"EGY","ENERGY TECHNOLOGIES LIMITED","1992-10-22","Capital Goods",27564034
"EHE","ESTIA HEALTH LIMITED","2014-12-05","Health Care Equipment & Services",629720875
"EHL","EMECO HOLDINGS LIMITED","2006-07-28","Capital Goods",505971275
"EL8","ELEVATE URANIUM LTD","1985-10-23","Energy",87306014
"ELD","ELDERS LIMITED","1981-06-30","Food, Beverage & Tobacco",1840282484
"ELE","ELMORE LTD","1998-02-25","Materials",15366614
"ELO","ELMO SOFTWARE LIMITED","2017-06-29","Software & Services",418457347
"ELS","ELSIGHT LIMITED","2017-06-08","Technology Hardware & Equipment",54003341
"ELT","ELEMENTOS LIMITED","2009-12-23","Materials",65581947
"EM1","EMERGE GAMING LIMITED","1971-06-09","Media & Entertainment",40364456
"EM2","EAGLE MOUNTAIN MINING LIMITED","2018-03-16","Materials",173451759
"EMB","EMBELTON LIMITED","1974-01-01","Capital Goods",26110070
"EMD","EMYRIA LIMITED","2020-02-12","Health Care Equipment & Services",47006994
"EME","ENERGY METALS LTD","2005-09-09","Energy",38791413
"EMH","EUROPEAN METALS HOLDINGS LIMITED","2012-07-19","Materials",260052435
"EML","EML PAYMENTS LIMITED","2006-01-18","Software & Services",1320673547
"EMN","EURO MANGANESE INC","2018-10-02","Materials",189731772
"EMP","EMPEROR ENERGY LIMITED","1987-06-05","Energy",4492574
"EMR","EMERALD RESOURCES NL","1994-07-22","Materials",463857486
"EMT","EMETALS LIMITED","2010-10-26","Not Applic",8500000
"EMU","EMU NL","2008-02-27","Materials",12782406
"EMUCA","EMU NL","2008-02-27","Materials",12782406
"EMV","EMVISION MEDICAL DEVICES LTD","2018-12-13","Health Care Equipment & Services",217729125
"EN1","ENGAGE:BDR LIMITED","2017-12-14","Media & Entertainment",11018572
"ENA","ENSURANCE LTD","2011-09-23","Insurance",17406349
"ENN","ELANOR INVESTORS GROUP","2014-07-11","Consumer Services",229851579
"ENR","ENCOUNTER RESOURCES LIMITED","2006-03-24","Materials",50521044
"ENT","ENTERPRISE METALS LIMITED","2007-06-20","Materials",8967483
"ENV","ENOVA MINING LIMITED","2007-04-13","Materials",7789153
"ENX","ENEGEX LIMITED","2013-10-08","Materials",23891237
"EOF","ECOFIBRE LIMITED","2019-03-29","Pharmaceuticals, Biotechnology & Life Sciences",279633101
"EOL","ENERGY ONE LIMITED","2007-01-15","Software & Services",160067520
"EOS","ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED","2000-10-23","Capital Goods",697223738
"EP1","E&P FINANCIAL GROUP LIMITED","2018-05-14","Diversified Financials",150165734
"EPD","EMPIRED LTD","2007-10-19","Software & Services",141065404
"EPM","ECLIPSE METALS LIMITED.","2011-02-17","Energy",40193094
"EPN","EPSILON HEALTHCARE LIMITED","2017-05-04","Pharmaceuticals, Biotechnology & Life Sciences",28906042
"EPX","EP&T GLOBAL LIMITED","2021-05-12","Software & Services",33443910
"EPY","EARLYPAY LTD","2010-02-23","Diversified Financials",111815282
"EQE","EQUUS MINING LIMITED","1995-12-12","Materials",22511627
"EQR","EQ RESOURCES LIMITED","2006-06-06","Materials",32833866
"EQT","EQT HOLDINGS LIMITED","1985-08-06","Diversified Financials",522383051
"EQX","EQUATORIAL RESOURCES LIMITED","1987-05-14","Materials",40302513
"ERA","ENERGY RESOURCES OF AUSTRALIA LIMITED","1980-11-19","Energy",996673463
"ERD","EROAD LIMITED","2020-09-18","Technology Hardware & Equipment",454524687
"ERF","ELANOR RETAIL PROPERTY FUND","2016-11-09","Real Estate",142246379
"ERG","ENECO REFRESH LTD","2006-03-29","Food, Beverage & Tobacco",9804900
"ERL","EMPIRE RESOURCES LIMITED","2007-02-01","Materials",9996250
"ERM","EMMERSON RESOURCES LIMITED","2007-12-17","Materials",34876694
"ERW","ERRAWARRA RESOURCES LTD","2020-12-14","Materials",7579714
"ESE","ESENSE-LAB LTD","2017-02-14","Pharmaceuticals, Biotechnology & Life Sciences","N/A"
"ESH","ESPORTS MOGUL LIMITED","2011-10-19","Media & Entertainment",23057794
"ESK","ETHERSTACK PLC","2012-09-07","Software & Services",84551676
"ESR","ESTRELLA RESOURCES LIMITED","2012-05-09","Materials",48096527
"ESS","ESSENTIAL METALS LIMITED","2003-12-04","Materials",19278461
"EUR","EUROPEAN LITHIUM LIMITED","2010-12-02","Materials",55102201
"EVE","EVE INVESTMENTS LIMITED","2004-04-08","Diversified Financials",19215709
"EVN","EVOLUTION MINING LIMITED","2002-08-20","Materials",7996561958
